CustomerID,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
12346.0,325,2,2.08,4,4,4,444
12347.0,2,182,481.2099999999999,1,1,1,111
12348.0,75,31,178.71,3,3,2,332
12349.0,18,73,605.1,2,2,1,221
12350.0,310,17,65.3,4,4,3,443
12352.0,36,95,2211.099999999999,2,2,1,221
12353.0,204,4,24.299999999999997,4,4,4,444
12354.0,232,58,261.22,4,2,2,422
12355.0,214,13,54.650000000000006,4,4,3,443
12356.0,22,59,188.86999999999998,2,2,2,222
12357.0,33,131,438.66999999999996,2,1,1,211
12358.0,1,19,157.21,1,3,2,132
12359.0,7,251,2210.06,1,1,1,111
12360.0,52,129,457.90999999999997,3,1,1,311
12361.0,287,10,33.349999999999994,4,4,4,444
12362.0,3,274,1083.29,1,1,1,111
12363.0,109,23,53.17000000000001,3,3,3,333
12364.0,7,85,162.37,1,2,2,122
12365.0,291,23,698.0,4,3,1,431
12367.0,4,11,35.2,1,4,4,144
12370.0,51,166,463.9000000000001,3,1,1,311
12371.0,44,63,244.07999999999998,2,2,2,222
12372.0,71,52,156.07,3,2,2,322
12373.0,311,14,64.15,4,4,3,443
12374.0,25,33,139.25,2,3,2,232
12375.0,2,18,119.60000000000001,1,3,3,133
12377.0,315,77,209.34999999999997,4,2,2,422
12378.0,129,219,656.44,3,1,1,311
12379.0,81,41,116.6,3,3,3,333
12380.0,21,105,355.63,2,1,1,211
12381.0,4,91,417.04,1,2,1,121
12383.0,184,100,309.36,4,1,1,411
12384.0,28,30,227.26999999999998,2,3,2,232
12386.0,337,10,23.910000000000004,4,4,4,444
12388.0,15,100,277.77,1,1,2,112
12390.0,79,32,127.9,3,3,3,333
12391.0,21,93,224.75999999999993,2,2,2,222
12393.0,72,64,145.9,3,2,2,322
12394.0,63,27,91.00999999999999,3,3,3,333
12395.0,15,159,629.59,1,1,1,111
12397.0,35,126,437.0,2,1,1,211
12398.0,45,85,169.38000000000002,2,2,2,222
12399.0,119,59,124.76,3,2,3,323
12401.0,303,5,48.4,4,4,4,444
12402.0,323,11,36.2,4,4,4,444
12403.0,49,6,53.400000000000006,2,4,3,243
12405.0,148,54,191.39,4,2,2,422
12406.0,22,108,305.99,2,1,1,211
12407.0,49,77,251.58999999999997,2,2,2,222
12408.0,32,113,353.48,2,1,1,211
12409.0,78,114,402.04,3,1,1,311
12410.0,301,28,176.96999999999997,4,3,2,432
12412.0,74,61,165.53999999999996,3,2,2,322
12413.0,66,40,210.29,3,3,2,332
12414.0,217,18,154.26000000000002,4,3,2,432
12415.0,24,778,2499.8199999999997,2,1,1,211
12417.0,3,198,1074.23,1,1,1,111
12418.0,112,34,121.19,3,3,3,333
12420.0,63,29,136.51,3,3,2,332
12421.0,15,46,204.17999999999998,1,2,2,122
12422.0,95,39,127.15,3,3,3,333
12423.0,0,126,365.05000000000007,1,1,1,111
12424.0,162,30,83.42000000000002,4,3,3,433
12425.0,78,36,92.32,3,3,3,333
12426.0,194,30,118.08999999999999,4,3,3,433
12427.0,11,35,161.17000000000002,1,3,2,132
12428.0,25,300,1418.79,2,1,1,211
12429.0,9,97,352.18000000000006,1,2,1,121
12430.0,43,11,68.48,2,4,3,243
12431.0,35,239,895.25,2,1,1,211
12432.0,42,108,1139.4900000000002,2,1,1,211
12433.0,0,420,920.9499999999998,1,1,1,111
12434.0,84,54,198.12999999999994,3,2,2,322
12435.0,79,36,197.24999999999997,3,3,2,332
12436.0,99,16,84.28,3,4,3,343
12437.0,1,201,809.45,1,1,1,111
12438.0,14,98,381.70000000000005,1,2,1,121
12441.0,366,11,40.71,4,4,4,444
12442.0,3,12,40.08,1,4,4,144
12444.0,21,177,1119.13,2,1,1,211
12445.0,22,4,31.95,2,4,4,244
12446.0,57,58,248.1,3,2,2,322
12447.0,243,26,92.93,4,3,3,433
12448.0,44,22,130.94,2,3,2,232
12449.0,22,191,705.69,2,1,1,211
12450.0,156,8,12.94,4,4,4,444
